,Unnamed: 0,review_title,review,rate,category,rating,Polarity,Analysis,summarization
10,10,Perfect product!,Very goodREAD MORE,5Perfect product!,redmi-mi-hi-resolution-audio-wired-headset,5,0.35,Positive, Very goodREAD MORE
11,11,Good quality product,Good quality product.I ♥️ MIREAD MORE,4Good quality product,redmi-mi-hi-resolution-audio-wired-headset,4,0.6,Positive, Good quality product.I ♥️ MIREAD MORE
12,12,Delightful,Ok okREAD MORE,4Delightful,redmi-mi-hi-resolution-audio-wired-headset,4,0.5,Positive, Ok okREAD MORE
13,13,Good choice,Writing this after 1 month useSound quality is excellent I am happy with the probuctIt is good  earphone at this priceREAD MORE,4Good choice,redmi-mi-hi-resolution-audio-wired-headset,4,0.75,Positive, Writing this after 1 month useSound quality is excellent I am happy with the probuctIt is good  earphone at this priceREAD MORE
14,14,Good choice,Sound is good but doesnot fit in ear properly.... Need modificationREAD MORE,4Good choice,redmi-mi-hi-resolution-audio-wired-headset,4,0.4,Positive, Sound is good but doesnot fit in ear properly....
15,15,Very Good,Good but slip fom ear very easilyREAD MORE,4Very Good,redmi-mi-hi-resolution-audio-wired-headset,4,0.4666666666666666,Positive, Good but slip fom ear very easilyREAD MORE
16,16,Must buy!,Sound goodSuper erphoneREAD MORE,5Must buy!,redmi-mi-hi-resolution-audio-wired-headset,5,0.45,Positive, Sound goodSuper erphoneREAD MORE
17,17,Best in the market!,Amazing headphones for this price.... Bass is good compared to other headphones... Love itREAD MORE,5Best in the market!,redmi-mi-hi-resolution-audio-wired-headset,5,0.33749999999999997,Positive, Amazing headphones for this price.... Bass is good compared to other headphones... Love itREAD MORE
18,18,Wonderful,Nice 😍😍READ MORE,5Wonderful,redmi-mi-hi-resolution-audio-wired-headset,5,0.55,Positive, Nice 😍😍READ MORE
19,19,Not good,Not fitted in earREAD MORE,2Not good,redmi-mi-hi-resolution-audio-wired-headset,2,0.5,Positive, Not fitted in earREAD MORE
20,20,Nice product,"Pros: 1.Charging time with 18W charger is 7 hours. With 10 watt charger it takes 10.5 hours to charge completely. (If your charger is 15W , it will still take 10.5 hours to charge). 2. It doesn't have a power on/off button. There is a battery level indicater button on side. When you press it once, it will show the battery level remaining. If you press it twice, it will go on low- current discharge mode when you can charge devices like Bluetooth headphones and smartbands. When you connect...READ MORE",4Nice product,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.15,Positive," Pros: 1.Charging time with 18W charger is 7 hours. With 10 watt charger it takes 10.5 hours to charge completely. (If your charger is 15W , it will still take 10.5 hours to charge). It doesn't have a power on/off button. There is a battery level indicater button on side. When you press it once, it will show the battery level remaining. If you press it twice, it will go on low- current discharge mode when you can charge devices like Bluetooth headphones and smartbands. When you connect...READ MORE"
21,21,Good quality product,* best battery life * good performance* value for money * nice fast chargeringREAD MORE,4Good quality product,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.6,Positive, * best battery life * good performance* value for money * nice fast chargeringREAD MORE
22,22,Fabulous!,Best power and fast charging i love this product as safe deliveryREAD MORE,5Fabulous!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.54,Positive, Best power and fast charging i love this product as safe deliveryREAD MORE
23,23,Super!,Good product 20000mAh power bank. And original and free a type-c usb cable.and a original product checking code is given in box I suggest always check the code in xiomi website for confirmation. It made in india .and it support 18w fast charging.3 power output support 2 usb type A and one type c port. Two way charging option support micro usb and type c port .READ MORE,5Super!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.42500000000000004,Positive, And original and free a type-c usb cable.and a original product checking code is given in box I suggest always check the code in xiomi website for confirmation. It made in india .and it support 18w fast charging.3 power output support 2 usb type A and one type c port. Two way charging option support micro usb and type c port .READ MORE
24,24,Must buy!,Thank you so much Flipkart this is a great power bank mi redmi note 7 pro full charge in 50 minutes this is very excellent product I recommend to all buy it so thanks Flipkart seller & delivery executive is happy natureREAD MORE,5Must buy!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.55,Positive, Thank you so much Flipkart this is a great power bank mi redmi note 7 pro full charge in 50 minutes this is very excellent product I recommend to all buy it so thanks Flipkart seller & delivery executive is happy natureREAD MORE
25,25,Must buy!,"*Best price*value for money*outstanding battrey backup, it takes 7hrs to get        charged but does not drain quickly. Powerful battrey backup, you can charge ur 5000mah bttry atleast 6 tym  if you have fully charged your powerbank.*design wise it is just fabulous guy's, feels like premium quality when you touch its body.Guy's i would like to say that this one is the best one which you should buy and i am reviewing this after 20 days of purchase so close your eyes nd book it.....READ MORE",5Must buy!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.65,Positive," *Best price*value for money*outstanding battrey backup, it takes 7hrs to get        charged but does not drain quickly. Powerful battrey backup, you can charge ur 5000mah bttry atleast 6 tym  if you have fully charged your powerbank. *design wise it is just fabulous guy's, feels like premium quality when you touch its body.Guy's i would like to say that this one is the best one which you should buy and i am reviewing this after 20 days of purchase so close your eyes nd book it.....READ MORE"
26,26,Bad quality,Review at first look and charge:Battery Charging- Excellent Build Quality- ExcellentDesign- Well and GoodBattery Backup- AmazingReview after 1 month use:Battery Charging- Poor (Takes about 10-12 hours to charge completely)Battery Backup- Very Poor (Drains really fast. Unable to handle two devices)Design- Got scratches after some days of use.(But that is common)Summary- Don't buy it if you just liked the design. Overall product design really good but you are not buying this for jus...READ MORE,2Bad quality,mi-3i-20000-mah-power-bank-fast-charging-18w,2,0.183,Positive, Review at first look and charge:Battery Charging- Excellent Build Quality- ExcellentDesign- Well and GoodBattery Backup- AmazingReview after 1 month use:Battery Charging- Poor (Takes about 10-12 hours to charge completely)Battery Backup- Very Poor (Drains really fast. Unable to handle two devices)Design- Got scratches after some days of use. (But that is common)Summary- Don't buy it if you just liked the design. Overall product design really good but you are not buying this for jus...READ MORE
27,27,Decent product,"After using 15days...At 1st 🔴 it is not a 1st charging power bank... my Samsung galaxy m21 is charging by its own charger at 2:30 hours 2% to 100% ......and by this power bank almost take same time, so it Is not a fast charger.....2nd  🟢it's power backup is good . My 6000 mAh is charging approximately 3 time....2time fully , 1time 80%3rd 🟡 it's own charging time is too long ..approximately 9/10 hours......0% to 100%  ( but company maintion that it takes 6.9 hour, )4th 🟢 desine is ...READ MORE",3Decent product,mi-3i-20000-mah-power-bank-fast-charging-18w,3,0.23124999999999998,Positive," After using 15days...At 1st 🔴 it is not a 1st charging power bank... my Samsung galaxy m21 is charging by its own charger at 2:30 hours 2% to 100% ......and by this power bank almost take same time, so it Is not a fast charger.....2nd  🟢it's power backup is good . My 6000 mAh is charging approximately 3 time....2time fully , 1time 80%3rd 🟡 it's own charging time is too long ..approximately 9/10 hours......0% to 100%  ( but company maintion that it takes 6.9 hour, )4th 🟢 desine is ...READ MORE"
28,28,Highly recommended,The power bank is very good ..I firstly charged my airpods with it and they got charged very quickly..it's highly recommended that before using it for the first time charge it completely then only you can see it's best performance.. overall good productREAD MORE,5Highly recommended,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.37000000000000005,Positive, The power bank is very good ..I firstly charged my airpods with it and they got charged very quickly..it's highly recommended that before using it for the first time charge it completely then only you can see it's best performance.. overall good productREAD MORE
29,29,Mind-blowing purchase,This Product is osm & value for money & this is original product for receive me and I am very happy thanks 😊👍 for flipkart fast delivery I really love this powerbank 😍😍😍😍 so guys this is best powerbank in 2021READ MORE,5Mind-blowing purchase,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5392857142857143,Positive, This Product is osm & value for money & this is original product for receive me and I am very happy thanks 😊👍 for flipkart fast delivery I really love this powerbank 😍😍😍😍 so guys this is best powerbank in 2021READ MORE
30,30,Wonderful,Value for money. A must have power bank.. It takes time to get charged itself is approx 8 hrs.. But it charges phone at good speed.. Awesome purchase at good price... Two inputs Type C n USB 2.0... Two output ports..READ MORE,4Wonderful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.725,Positive, A must have power bank.. It takes time to get charged itself is approx 8 hrs.. But it charges phone at good speed.. Awesome purchase at good price... Two inputs Type C n USB 2.0... Two output ports..READ MORE
31,31,Just wow!,"Power backup is amazing,look is smooth and fantastic ,rechargine time 7 to 8 hr,and very fast charging tnx for flipkart and i recoment to buy this product...☺️READ MORE",5Just wow!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.39,Positive," Power backup is amazing,look is smooth and fantastic ,rechargine time 7 to 8 hr,and very fast charging tnx for flipkart and i recoment to buy this product...☺️READ MORE"
32,32,Worth the money,Good product nice back up super fast charging k20 pro 4.3 timesREAD MORE,4Worth the money,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.38888888888888884,Positive, Good product nice back up super fast charging k20 pro 4.3 timesREAD MORE
33,33,Good choice,"Very good product, it worth with price.Battery backup is very fine but sometimes it doesn't boost the fast charging.Over all Mi 20000 power bank is much powerful than other power banks.READ MORE",4Good choice,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.3752380952380952,Positive," Very good product, it worth with price.Battery backup is very fine but sometimes it doesn't boost the fast charging.Over all Mi 20000 power bank is much powerful than other power banks.READ MORE"
34,34,Great product,the product looks much premium than the cost. Best in this price range . has two powering modes low and high (double click the button on powerbank to activate low power mode). truely supports 18 W fast charging. The power bank takes 6 to 7 hours of time to charge it fully. Overall best experience in this cost and pretty nice delivery by flipkart. Thanks :)READ MORE,5Great product,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.3306666666666667,Positive, the product looks much premium than the cost. Best in this price range . has two powering modes low and high (double click the button on powerbank to activate low power mode). truely supports 18 W fast charging. The power bank takes 6 to 7 hours of time to charge it fully. Overall best experience in this cost and pretty nice delivery by flipkart.
35,35,Must buy!,This power bank is so good butI recommend you to buy 30000 mah mi power bankAlso battery backup is good It takes 6.5 hrs to charge from 35 watt charger I am happy you should buy this ......READ MORE,5Must buy!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.675,Positive, This power bank is so good butI recommend you to buy 30000 mah mi power bankAlso battery backup is good It takes 6.5 hrs to charge from 35 watt charger I am happy you should buy this ......READ MORE
36,36,Worth every penny,Supports fast charging output and the best thing is if you double click the button it goes on low output mode so that you can charge your small gadgets like earbuds case and smart band.READ MORE,5Worth every penny,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.23775510204081632,Positive, Supports fast charging output and the best thing is if you double click the button it goes on low output mode so that you can charge your small gadgets like earbuds case and smart band.READ MORE
37,37,Simply awesome,Good  quality  fast charging  available  18 WBack up so good .READ MORE,5Simply awesome,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, Good  quality  fast charging  available  18 WBack up so good .READ MORE
38,38,Terrific purchase,"I'm impressed by this powerbank of redmi , it is amazing powerbank , gives a very decent battery back up z also supports fast charging so that's a plus advantage , overall I'm in love with thisREAD MORE",5Terrific purchase,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.3770833333333334,Positive," I'm impressed by this powerbank of redmi , it is amazing powerbank , gives a very decent battery back up z also supports fast charging so that's a plus advantage , overall I'm in love with thisREAD MORE"
39,39,Nice product,Pros 1 Value for money 2 good backup 3 nice design 4 faster chargingCons 1 mobile charging delivery is good but power bank takes 7-8 hours for full charged  Charging output best but input not good it takes too long time😖READ MORE,4Nice product,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.43124999999999997,Positive, Pros 1 Value for money 2 good backup 3 nice design 4 faster chargingCons 1 mobile charging delivery is good but power bank takes 7-8 hours for full charged  Charging output best but input not good it takes too long time😖READ MORE
40,40,Classy product,After using almost a year..the power bank still working perfectly and efficiently..For long life you must charge with normal charger rather than fast charging..Overall Usability wise superb product👍👍READ MORE,5Classy product,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, After using almost a year..the power bank still working perfectly and efficiently..For long life you must charge with normal charger rather than fast charging..Overall Usability wise superb product👍👍READ MORE
41,41,Best in the market!,Its a Good Powerbank and feels good in designFast charging is Good Almost 4 and half times recharging my redmi note 7 proREAD MORE,5Best in the market!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.4866666666666665,Positive, Its a Good Powerbank and feels good in designFast charging is Good Almost 4 and half times recharging my redmi note 7 proREAD MORE
42,42,Super!,"I hve used and seen for product and battery backup wise it’s awesome... Just one think I m not support i.e power charging, it’s taking long time. Other wise it’s free handling....READ MORE",5Super!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.44642857142857134,Positive," I hve used and seen for product and battery backup wise it’s awesome... Just one think I m not support i.e power charging, it’s taking long time. Other wise it’s free handling....READ MORE"
43,43,Terrific,Osm ....best power ...READ MORE,5Terrific,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, Osm ....best power ...READ MORE
44,44,Excellent,This is a amazing power bank for every you charged by this . This is charge my redmi k20pro 4000 mah battery 4.5 times 4 time fully charged and 5th time half charge not. Bad thank you mi. Tq Flipkart 👍👍🤝I suggest you can bought now careless.READ MORE,5Excellent,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.32083333333333336,Positive, This is a amazing power bank for every you charged by this . This is charge my redmi k20pro 4000 mah battery 4.5 times 4 time fully charged and 5th time half charge not. Tq Flipkart 👍👍🤝I suggest you can bought now careless.READ MORE
45,45,Just wow!,It is very good power bankREAD MORE,5Just wow!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.705,Positive, It is very good power bankREAD MORE
46,46,Worth every penny,Nice power bank🔥🔥🔥READ MORE,5Worth every penny,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.55,Positive, Nice power bank🔥🔥🔥READ MORE
47,47,Brilliant,Excellent fast charging and nice backup dont waste money for other brands buy this onlyREAD MORE,5Brilliant,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.32916666666666666,Positive, Excellent fast charging and nice backup dont waste money for other brands buy this onlyREAD MORE
48,48,Perfect product!,Technical this powerbank has 15000mAh battery backup.. It can charge 5000mah 3 times once fully  charged. It takes alomost 5 to 7 hours with 20watt charger..READ MORE,5Perfect product!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.25,Positive, Technical this powerbank has 15000mAh battery backup.. It can charge 5000mah 3 times once fully  charged. It takes alomost 5 to 7 hours with 20watt charger..READ MORE
49,49,Worth every penny,Best ProductREAD MORE,5Worth every penny,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.75,Positive, Best ProductREAD MORE
50,50,Worth every penny,I love this product.. And mi is my first choice ❤.READ MORE,5Worth every penny,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.4166666666666667,Positive, I love this product.. And mi is my first choice ❤.READ MORE
51,51,Very Good,Very good this productREAD MORE,4Very Good,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.705,Positive, Very good this productREAD MORE
52,52,Classy product,Awesome quality 😇😇😇😇😇😇Iam really happy with this😇😇😇😇READ MORE,5Classy product,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.7666666666666666,Positive, Awesome quality 😇😇😇😇😇😇Iam really happy with this😇😇😇😇READ MORE
53,53,Just wow!,Awesome😍READ MORE,5Just wow!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, Awesome😍READ MORE
54,54,Just wow!,"Superb!!! 👍👍👍This power bank fully charges my k20 pro 4 and 1/2 times  with continuously 18w fast charge. I tested it's performance and it charges at the same speed and takes exactly same time as per xiaomi's  original 18w charger. It takes around 10-12 hour to fully charge itself, but one issue that i am facing is one of its usb-A port is not working. Except that overall design, quality, performance and price is good.READ MORE",5Just wow!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.29642857142857143,Positive," 👍👍👍This power bank fully charges my k20 pro 4 and 1/2 times  with continuously 18w fast charge. I tested it's performance and it charges at the same speed and takes exactly same time as per xiaomi's  original 18w charger. It takes around 10-12 hour to fully charge itself, but one issue that i am facing is one of its usb-A port is not working. Except that overall design, quality, performance and price is good.READ MORE"
55,55,Excellent,Superb product i love itREAD MORE,5Excellent,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.6666666666666666,Positive, Superb product i love itREAD MORE
56,56,Highly recommended,Good product...and awesome Ekart Facility...thanks Flipkart❤️❤️READ MORE,5Highly recommended,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.7333333333333334,Positive, Good product...and awesome Ekart Facility...thanks Flipkart❤️❤️READ MORE
57,57,Brilliant,"iam using this power bank last 2,3 years...then last i bought the lstest vertion ... its so good and amazing power backup , my rdmi note 7 pro more than 3 times charing put in this power bank .one down side is , the power bank too big . carreing in pants pockets ,its too difficult but who needs more charge backup ,go for itREAD MORE",5Brilliant,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.21444444444444444,Positive," iam using this power bank last 2,3 years...then last i bought the lstest vertion ... its so good and amazing power backup , my rdmi note 7 pro more than 3 times charing put in this power bank .one down side is , the power bank too big ."
58,58,Delightful,Powe Bank is good look wise little heavy because of the 20000mAh powebank also value for money but backup not much as good im ising nokia 7plus 3800mAh battery inside the phone this power Bank charger 3800battery only 3times in 100%READ MORE,4Delightful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.1660714285714286,Positive, Powe Bank is good look wise little heavy because of the 20000mAh powebank also value for money but backup not much as good im ising nokia 7plus 3800mAh battery inside the phone this power Bank charger 3800battery only 3times in 100%READ MORE
59,59,Awesome,Excellent super goodREAD MORE,5Awesome,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.611111111111111,Positive, Excellent super goodREAD MORE
60,60,Decent product,Product is receive as  aspected thank you flip kart for your wonderful product and trusted deliveryREAD MORE,3Decent product,mi-3i-20000-mah-power-bank-fast-charging-18w,3,0.75,Positive, Product is receive as  aspected thank you flip kart for your wonderful product and trusted deliveryREAD MORE
61,61,Fair,"prosnice packaging solid, glossyconsheavysmall charging cablerequired spare 18 w adaptor for fast charging other took many hours to chargeREAD MORE",3Fair,mi-3i-20000-mah-power-bank-fast-charging-18w,3,0.215,Positive," prosnice packaging solid, glossyconsheavysmall charging cablerequired spare 18 w adaptor for fast charging other took many hours to chargeREAD MORE"
62,62,Delightful,Good ProductREAD MORE,4Delightful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.6,Positive, Good ProductREAD MORE
63,63,Wonderful,Nice Power BankREAD MORE,4Wonderful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.55,Positive, Nice Power BankREAD MORE
64,64,Wonderful,Best option for 20000 mah power BankREAD MORE,4Wonderful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.75,Positive, Best option for 20000 mah power BankREAD MORE
65,65,Highly recommended,This power bank is awesome.. Its worth for money.. Iam suggesting Everyone to try it.. Simply goodREAD MORE,5Highly recommended,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.45,Positive, This power bank is awesome.. Its worth for money.. Iam suggesting Everyone to try it..
66,66,Brilliant,Perfect product. Simply 👌👌READ MORE,5Brilliant,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, Perfect product. Simply 👌👌READ MORE
67,67,Terrific purchase,It's very travel friendly and smooth curves like it but little expensiveREAD MORE,5Terrific purchase,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.2575,Positive, It's very travel friendly and smooth curves like it but little expensiveREAD MORE
68,68,Must buy!,Good quality 👍👍READ MORE,5Must buy!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.6,Positive, Good quality 👍👍READ MORE
69,69,Terrific purchase,❤️❤️ really this product is very nice. Long lasting power backup  and I am satisfied ☺️READ MORE,5Terrific purchase,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.32166666666666666,Positive, ❤️❤️ really this product is very nice. Long lasting power backup  and I am satisfied ☺️READ MORE
70,70,Pretty good,Very heavy but has very good backup.READ MORE,4Pretty good,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.3833333333333333,Positive, Very heavy but has very good backup.READ MORE
71,71,Good quality product,Power bank mi 3i 20000mah is Good quality.READ MORE,4Good quality product,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.6,Positive, Power bank mi 3i 20000mah is Good quality.READ MORE
72,72,Terrific,Reviewing after 1.5 years of useREAD MORE,5Terrific,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.5,Positive, Reviewing after 1.5 years of useREAD MORE
73,73,Unsatisfactory,"Edited: Reviewing after 10 day use, Received on 1st jan 2021.Time fr Charging power bnk, too long. Charging speed too toooooo slow, it takes almost 12-14hours fr full charge. Mobile charging time fairely good. Travell frndly???... Nt at all,I'm giving jst 2 stars. Value fr money...???naaah😤👎🏻👎🏻. Nd people plz give honest reviews plz plz 🙏🙏🙏🙏READ MORE",1Unsatisfactory,mi-3i-20000-mah-power-bank-fast-charging-18w,1,0.3,Positive," Edited: Reviewing after 10 day use, Received on 1st jan 2021.Time fr Charging power bnk, too long. Charging speed too toooooo slow, it takes almost 12-14hours fr full charge. Mobile charging time fairely good. Travell frndly???... Nt at all,I'm giving jst 2 stars. Value fr money...???naaah😤👎🏻👎🏻."
74,74,Wonderful,ExcellentREAD MORE,4Wonderful,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.5,Positive, ExcellentREAD MORE
75,75,Terrific purchase,Loved itREAD MORE,5Terrific purchase,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.6,Positive, Loved itREAD MORE
76,76,Awesome,Absolutely fantastic. I love it  one of the best product i have.READ MORE,5Awesome,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.6,Positive, Absolutely fantastic. I love it  one of the best product i have.READ MORE
77,77,Super!,Best product for meREAD MORE,5Super!,mi-3i-20000-mah-power-bank-fast-charging-18w,5,0.75,Positive, Best product for meREAD MORE
78,78,Absolute rubbish!,"It's not 20000 mah battery....... redmi note 8 pro (4500mah) mobile charged only twice once from 5 to 97 % & other time 10 to 95 %, during third time it charged mobile  from 21 to 33 % and powerbank discharged completely....READ MORE",1Absolute rubbish!,mi-3i-20000-mah-power-bank-fast-charging-18w,1,0.09375,Positive," It's not 20000 mah battery....... redmi note 8 pro (4500mah) mobile charged only twice once from 5 to 97 % & other time 10 to 95 %, during third time it charged mobile  from 21 to 33 % and powerbank discharged completely....READ MORE"
79,79,Value-for-money,ThanksREAD MORE,4Value-for-money,mi-3i-20000-mah-power-bank-fast-charging-18w,4,0.5,Positive, ThanksREAD MORE
80,80,Perfect product!,Thank you for delivery it just in one day . I loved this watch .Sharing few pics of my watch . It feels so good too wear it . A gentle look .READ MORE,5Perfect product!,apple-watch-series-3-gps-42-mm-space-grey-aluminium-case-black-sport-band,5,0.38,Positive, Thank you for delivery it just in one day . I loved this watch .Sharing few pics of my watch . It feels so good too wear it . A gentle look .READ MORE
81,81,Awesome,"Amazing watch ! Was lill skeptic before buying, but its 💯 percent genuine and amazing !! Loved it !! My first apple watch !!Dilevery was on time. Thankyou #flipkart @flipkart you’ve been the best ! 🏅READ MORE",5Awesome,apple-watch-series-3-gps-42-mm-space-grey-aluminium-case-black-sport-band,5,0.7111607142857144,Positive," Amazing watch ! Was lill skeptic before buying, but its 💯 percent genuine and amazing ! ! Loved it ! ! My first apple watch ! !Dilevery was on time. Thankyou #flipkart @flipkart you’ve been the best !"
